Date,EuroStoxx50_Close
2025-03-03,5540.69
2025-03-04,5387.31
2025-03-05,5489.12
2025-03-06,5520.47
2025-03-07,5468.41
2025-03-10,5386.98
2025-03-11,5309.9
2025-03-12,5359.42
2025-03-13,5328.39
2025-03-14,5404.18
2025-03-17,5445.55
2025-03-18,5485.01
2025-03-19,5507.36
2025-03-20,5450.93
2025-03-21,5423.83
2025-03-24,5415.79
2025-03-25,5475.08
2025-03-26,5411.69
2025-03-27,5381.08
2025-03-28,5331.4
2025-03-31,5248.39
2025-04-01,5320.3
2025-04-02,5303.95
2025-04-03,5113.28
2025-04-04,4878.31
2025-04-07,4656.41
2025-04-08,4773.65
2025-04-09,4622.14
2025-04-10,4818.92
2025-04-11,4787.23
2025-04-14,4911.39
2025-04-15,4970.43
2025-04-16,4966.5
2025-04-17,4935.34
2025-04-22,4961.45
2025-04-23,5098.74
2025-04-24,5114.98
2025-04-25,5154.12
2025-04-28,5170.49
2025-04-29,5161.9
2025-04-30,5160.22
